document,title,body,jurisdiction,region,type,version,date,current,changes,sourceUrl,archiveUrl,url
us-ca5-court-2023-proposed-rule-32-3-ai-certification,Notice of Proposed Amendment to Fifth Circuit Rule 32.3 and Form 6,U.S. Court of Appeals for the Fifth Circuit,us-federal,,court-rule,As posted (undated),2026-09-06,true,,https://www.ca5.uscourts.gov/docs/5995382a-c99d-4f5e-9e3f-8b0498dbd643/public-comment-local-rule-32-3-and-form-6.pdf,,https://safelegalai.com/regulation/us-federal/us-ca5-court-2023-proposed-rule-32-3-ai-certification
us-ca5-court-2024-decision-not-to-adopt-ai-rule,Court Decision on Proposed Rule Regarding Artificial Intelligence,U.S. Court of Appeals for the Fifth Circuit,us-federal,,guidance,As posted (undated),2026-09-06,true,,https://www.ca5.uscourts.gov/docs/50decee8-be93-41d3-89f4-6ab796859e84/court-decision-on-proposed-rule.pdf,,https://safelegalai.com/regulation/us-federal/us-ca5-court-2024-decision-not-to-adopt-ai-rule
us-cacb-court-2026-ai-tools-risks,Risks Associated with the Use of AI Tools to Generate Documents for Filing with the Court,Central District of California,us-federal,California,guidance,As posted (undated),2026-09-06,true,,https://www.cacb.uscourts.gov/sites/cacb/files/documents/Risk%20Associated%20with%20the%20use%20of%20AI%20Tools.pdf,,https://safelegalai.com/regulation/us-federal/us-cacb-court-2026-ai-tools-risks
us-cacd-court-2026-ai-use-nonuse-declaration,Standing Order Regarding Newly Assigned Cases,Central District of California (Judge Court),us-federal,California,standing-order,As posted (undated),2026-09-06,true,,https://apps.cacd.uscourts.gov/JpsApi/file/7e7a0336-d4d0-4af7-317f-08df0388792c,,https://safelegalai.com/regulation/us-federal/us-cacd-court-2026-ai-use-nonuse-declaration
us-cacd-kato-2026-ai-sanctions,Civil Standing Order,Central District of California (Judge Kato),us-federal,California,standing-order,As posted (undated),2026-09-06,true,,https://apps.cacd.uscourts.gov/JpsApi/file/bbd27d32-7593-4457-9e6f-08def326596c,,https://safelegalai.com/regulation/us-federal/us-cacd-kato-2026-ai-sanctions
us-cacd-oliver-2026-ai-declaration,Judge’s Procedures: Artificial Intelligence,Central District of California (Judge Oliver),us-federal,California,standing-order,As posted (undated),2026-09-06,true,,https://apps.cacd.uscourts.gov/Jps/#/judge/e048d7c4-f266-4bec-3ed2-08ddece20de6/rao,,https://safelegalai.com/regulation/us-federal/us-cacd-oliver-2026-ai-declaration
us-cacd-park-2026-ai-rule11-reminder,Judge’s Procedures: Artificial Intelligence,Central District of California (Judge Park),us-federal,California,standing-order,As posted (undated),2026-09-06,true,,https://apps.cacd.uscourts.gov/Jps/#/judge/33cb8842-9482-45f4-3518-08de636ff965/ayp,,https://safelegalai.com/regulation/us-federal/us-cacd-park-2026-ai-rule11-reminder
us-cacd-roberts-2026-ai-rule11-reminder,Important Notice: Use of Artificial Intelligence in Court Filings,Central District of California (Judge Roberts),us-federal,California,standing-order,As posted (undated),2026-09-06,true,,https://apps.cacd.uscourts.gov/Jps/#/judge/3e4e42a0-7045-4e32-432f-08de214ff94e/dsr,,https://safelegalai.com/regulation/us-federal/us-cacd-roberts-2026-ai-rule11-reminder
us-cacd-sagar-2026-ai-declaration,Important Notice: Artificial Intelligence,Central District of California (Judge Sagar),us-federal,California,standing-order,As posted (undated),2026-09-06,true,,https://apps.cacd.uscourts.gov/Jps/#/judge/c2f8424c-aa26-4c30-3ed8-08ddece20de6/as,,https://safelegalai.com/regulation/us-federal/us-cacd-sagar-2026-ai-declaration
us-cacd-scott-2026-ai-citation-check,Judge’s Procedures: Generative Artificial Intelligence,Central District of California (Judge Scott),us-federal,California,standing-order,As posted (undated),2026-09-06,true,,https://apps.cacd.uscourts.gov/Jps/#/judge/33e68914-24b3-40a5-3ed9-08ddece20de6/kes,,https://safelegalai.com/regulation/us-federal/us-cacd-scott-2026-ai-citation-check
