id,url,title,body,bodyShort,jurisdiction,type,status,appliesTo,requirements,versions,summary,keyProvisions,relatedIncidents,sources,country,categories,lastVerified,verified,region,effectiveDate,article
us-ca5-court-2023-proposed-rule-32-3-ai-certification,https://safelegalai.com/regulation/us-federal/us-ca5-court-2023-proposed-rule-32-3-ai-certification,Notice of Proposed Amendment to Fifth Circuit Rule 32.3 and Form 6,U.S. Court of Appeals for the Fifth Circuit,U.S. Court of Appeals for the Fifth Circuit,us-federal,court-rule,withdrawn,lawyers; litigants,disclosure; certification; verification,"[{""version"":""As posted (undated)"",""date"":""2026-09-06"",""url"":""https://www.ca5.uscourts.gov/docs/5995382a-c99d-4f5e-9e3f-8b0498dbd643/public-comment-local-rule-32-3-and-form-6.pdf""}]","The Fifth Circuit proposed amending Rule 32.3 and Form 6 to add a generative-AI certification for appellate filings. The proposal would have required counsel and unrepresented filers to certify either no GenAI drafting or human review and approval of all generated text, including citations and legal analysis.","Would have required Form 6 certification whether generative AI was used in drafting.; If used, all generated text, citations, and legal analysis had to be human-reviewed.; The Fifth Circuit later decided not to adopt this proposed rule.",,"[{""label"":""U.S. Court of Appeals for the Fifth Circuit — Notice of Proposed Amendment to Fifth Circuit Rule 32.3 and Form 6 (primary, court-pdf)"",""url"":""https://www.ca5.uscourts.gov/docs/5995382a-c99d-4f5e-9e3f-8b0498dbd643/public-comment-local-rule-32-3-and-form-6.pdf""},{""label"":""SafeLegalAI us-court-ai-orders dataset row (coding, text excerpt, provenance)"",""url"":""https://github.com/SafeLegalAI/us-court-ai-orders/blob/main/data/orders.jsonl""}]",US,disclosure-filings; verification-duty; litigant-in-person,2026-09-06,false,,,
us-ca5-court-2024-decision-not-to-adopt-ai-rule,https://safelegalai.com/regulation/us-federal/us-ca5-court-2024-decision-not-to-adopt-ai-rule,Court Decision on Proposed Rule Regarding Artificial Intelligence,U.S. Court of Appeals for the Fifth Circuit,U.S. Court of Appeals for the Fifth Circuit,us-federal,guidance,in-force,lawyers; litigants,permissive,"[{""version"":""As posted (undated)"",""date"":""2026-09-06"",""url"":""https://www.ca5.uscourts.gov/docs/50decee8-be93-41d3-89f4-6ab796859e84/court-decision-on-proposed-rule.pdf""}]","After public comment, the Fifth Circuit decided not to adopt its proposed AI certification rule. The notice leaves no special AI disclosure or certification requirement in effect, but expressly warns parties and counsel that existing appellate duties require careful checking for truthfulness and accuracy.",The court declined to adopt a special AI rule for drafting briefs.; Parties and counsel remain responsible for truthfulness and accuracy under existing appellate rules.,,"[{""label"":""U.S. Court of Appeals for the Fifth Circuit — Court Decision on Proposed Rule Regarding Artificial Intelligence (primary, court-pdf)"",""url"":""https://www.ca5.uscourts.gov/docs/50decee8-be93-41d3-89f4-6ab796859e84/court-decision-on-proposed-rule.pdf""},{""label"":""SafeLegalAI us-court-ai-orders dataset row (coding, text excerpt, provenance)"",""url"":""https://github.com/SafeLegalAI/us-court-ai-orders/blob/main/data/orders.jsonl""}]",US,disclosure-filings; litigant-in-person,2026-09-06,false,,,
us-cacb-court-2026-ai-tools-risks,https://safelegalai.com/regulation/us-federal/us-cacb-court-2026-ai-tools-risks,Risks Associated with the Use of AI Tools to Generate Documents for Filing with the Court,U.S. Bankruptcy Court for the Central District of California,Central District of California,us-federal,guidance,in-force,all,competence,"[{""version"":""As posted (undated)"",""date"":""2026-09-06"",""url"":""https://www.cacb.uscourts.gov/sites/cacb/files/documents/Risk%20Associated%20with%20the%20use%20of%20AI%20Tools.pdf""}]","The Central District of California Bankruptcy Court’s AI tools notice warns filers that AI-generated court documents may contain fabricated citations, misstatements, or unsupported facts. It advises line-by-line review and verification before filing, and warns that inaccurate or fabricated content may produce sanctions or denial of relief.","The notice warns that AI tools may generate inaccurate, outdated, inapplicable, or fabricated legal content.; It says filers should conduct careful line-by-line review before filing AI-assisted documents.; Filers should confirm every cited case, statute, rule, and quotation exists and is accurately quoted.; Inaccurate citations or unsupported factual assertions may lead to sanctions or denial of relief.",,"[{""label"":""Central District of California — Risks Associated with the Use of AI Tools to Generate Documents for Filing with the Court (primary, court-pdf)"",""url"":""https://www.cacb.uscourts.gov/sites/cacb/files/documents/Risk%20Associated%20with%20the%20use%20of%20AI%20Tools.pdf""},{""label"":""SafeLegalAI us-court-ai-orders dataset row (coding, text excerpt, provenance)"",""url"":""https://github.com/SafeLegalAI/us-court-ai-orders/blob/main/data/orders.jsonl""}]",US,disclosure-filings,2026-09-06,false,California,,
us-cacd-court-2026-ai-use-nonuse-declaration,https://safelegalai.com/regulation/us-federal/us-cacd-court-2026-ai-use-nonuse-declaration,Standing Order Regarding Newly Assigned Cases,U.S. District Court for the Central District of California — Judge Michelle Williams Court,Central District of California (Judge Court),us-federal,standing-order,in-force,all,disclosure; certification,"[{""version"":""As posted (undated)"",""date"":""2026-09-06"",""url"":""https://apps.cacd.uscourts.gov/JpsApi/file/7e7a0336-d4d0-4af7-317f-08df0388792c""}]","Judge Michelle Williams Court’s Central District of California civil standing order requires every motion, pleading, or paper to include a declaration about AI use or non-use. If AI drafted any portion, the filer must verify the content, identify AI-generated portions, and faces sanctions or striking for noncompliance.","Every motion, pleading, or other paper must attach a declaration disclosing AI use or non-use.; The filer must certify either no AI drafting or that AI-drafted portions were reviewed and verified.; The declaration must identify which portions of the filing incorporate generative AI outputs.; Inaccurate or undeclared AI outputs may lead to sanctions, including State Bar referral.; Failure to submit the declaration may result in striking the filing.",,"[{""label"":""Central District of California — Standing Order Regarding Newly Assigned Cases (primary, court-pdf)"",""url"":""https://apps.cacd.uscourts.gov/JpsApi/file/7e7a0336-d4d0-4af7-317f-08df0388792c""},{""label"":""SafeLegalAI us-court-ai-orders dataset row (coding, text excerpt, provenance)"",""url"":""https://github.com/SafeLegalAI/us-court-ai-orders/blob/main/data/orders.jsonl""}]",US,disclosure-filings; verification-duty,2026-09-06,false,California,,
us-cacd-kato-2026-ai-sanctions,https://safelegalai.com/regulation/us-federal/us-cacd-kato-2026-ai-sanctions,Civil Standing Order,U.S. District Court for the Central District of California — Judge Kenly Kiya Kato,Central District of California (Judge Kato),us-federal,standing-order,in-force,lawyers; litigants; parties,disclosure; certification; verification,"[{""version"":""As posted (undated)"",""date"":""2026-09-06"",""url"":""https://apps.cacd.uscourts.gov/JpsApi/file/bbd27d32-7593-4457-9e6f-08def326596c""}]",Judge Kenly Kiya Kato’s Central District of California civil standing order requires a separate declaration when a party uses generative AI to generate any portion of a filing. The declaration must disclose AI use and certify accuracy; noncompliance or inaccurate sources triggers stated monetary sanctions.,"Parties using generative AI for any portion of a motion, brief, pleading, or filing must attach a declaration.; The declaration must disclose AI use and certify source-material review and accuracy.; The certification must state compliance with Rule 11 obligations.; Non-compliance or nonexistent or inaccurate sources triggers $500 sanctions for the first and each later violation.",,"[{""label"":""Central District of California — Civil Standing Order (primary, court-pdf)"",""url"":""https://apps.cacd.uscourts.gov/JpsApi/file/bbd27d32-7593-4457-9e6f-08def326596c""},{""label"":""SafeLegalAI us-court-ai-orders dataset row (coding, text excerpt, provenance)"",""url"":""https://github.com/SafeLegalAI/us-court-ai-orders/blob/main/data/orders.jsonl""}]",US,disclosure-filings; verification-duty; litigant-in-person,2026-09-06,false,California,,
us-cacd-oliver-2026-ai-declaration,https://safelegalai.com/regulation/us-federal/us-cacd-oliver-2026-ai-declaration,Judge’s Procedures: Artificial Intelligence,U.S. District Court for the Central District of California — Judge Rozella A. Oliver,Central District of California (Judge Oliver),us-federal,standing-order,in-force,lawyers; litigants; parties,disclosure; certification,"[{""version"":""As posted (undated)"",""date"":""2026-09-06"",""url"":""https://apps.cacd.uscourts.gov/Jps/#/judge/e048d7c4-f266-4bec-3ed2-08ddece20de6/rao""}]","Magistrate Judge Rozella A. Oliver’s Central District of California procedures page requires a separate declaration when a party uses generative AI to generate any portion of a filing. The declaration must disclose AI use and certify review, accuracy, and Rule 11 compliance.","Parties using generative AI for any portion of a brief, pleading, or filing must attach a separate declaration.; The declaration must disclose AI use.; The declaration must certify source-material review and accuracy of AI-generated content.; The certification must state compliance with Rule 11 obligations.",,"[{""label"":""Central District of California — Judge’s Procedures: Artificial Intelligence (primary, uscourts-judge-page)"",""url"":""https://apps.cacd.uscourts.gov/Jps/#/judge/e048d7c4-f266-4bec-3ed2-08ddece20de6/rao""},{""label"":""SafeLegalAI us-court-ai-orders dataset row (coding, text excerpt, provenance)"",""url"":""https://github.com/SafeLegalAI/us-court-ai-orders/blob/main/data/orders.jsonl""}]",US,disclosure-filings; verification-duty; litigant-in-person,2026-09-06,false,California,,
us-cacd-park-2026-ai-rule11-reminder,https://safelegalai.com/regulation/us-federal/us-cacd-park-2026-ai-rule11-reminder,Judge’s Procedures: Artificial Intelligence,U.S. District Court for the Central District of California — Judge Anna Y. Park,Central District of California (Judge Park),us-federal,standing-order,in-force,lawyers; parties,competence,"[{""version"":""As posted (undated)"",""date"":""2026-09-06"",""url"":""https://apps.cacd.uscourts.gov/Jps/#/judge/33cb8842-9482-45f4-3518-08de636ff965/ayp""}]","Magistrate Judge Anna Y. Park’s Central District of California procedures page includes an Artificial Intelligence paragraph reminding counsel and parties of Rule 11 obligations and the representations made by signing a court filing. The text does not add an AI-specific disclosure, verification, or certification requirement.",Counsel and parties are reminded of Federal Rule of Civil Procedure 11 obligations.; The reminder concerns representations made by signing a paper filing with the court.; The procedures page does not impose an AI-specific disclosure or certification requirement.,,"[{""label"":""Central District of California — Judge’s Procedures: Artificial Intelligence (primary, uscourts-judge-page)"",""url"":""https://apps.cacd.uscourts.gov/Jps/#/judge/33cb8842-9482-45f4-3518-08de636ff965/ayp""},{""label"":""SafeLegalAI us-court-ai-orders dataset row (coding, text excerpt, provenance)"",""url"":""https://github.com/SafeLegalAI/us-court-ai-orders/blob/main/data/orders.jsonl""}]",US,disclosure-filings,2026-09-06,false,California,,
us-cacd-roberts-2026-ai-rule11-reminder,https://safelegalai.com/regulation/us-federal/us-cacd-roberts-2026-ai-rule11-reminder,Important Notice: Use of Artificial Intelligence in Court Filings,U.S. District Court for the Central District of California — Judge Daniel S. Roberts,Central District of California (Judge Roberts),us-federal,standing-order,in-force,lawyers; parties,competence,"[{""version"":""As posted (undated)"",""date"":""2026-09-06"",""url"":""https://apps.cacd.uscourts.gov/Jps/#/judge/3e4e42a0-7045-4e32-432f-08de214ff94e/dsr""}]","Magistrate Judge Daniel S. Roberts’s Central District of California notice is titled Use of Artificial Intelligence in Court Filings. It reminds counsel and parties of Rule 11 obligations and representations made by signing filings, but it does not state a separate AI-use disclosure or certification requirement.","Counsel and parties are reminded of Rule 11 obligations.; The notice concerns representations made by signing a paper filed with the court.; No AI-specific disclosure, certification, or verification duty is stated.",,"[{""label"":""Central District of California — Important Notice: Use of Artificial Intelligence in Court Filings (primary, uscourts-judge-page)"",""url"":""https://apps.cacd.uscourts.gov/Jps/#/judge/3e4e42a0-7045-4e32-432f-08de214ff94e/dsr""},{""label"":""SafeLegalAI us-court-ai-orders dataset row (coding, text excerpt, provenance)"",""url"":""https://github.com/SafeLegalAI/us-court-ai-orders/blob/main/data/orders.jsonl""}]",US,disclosure-filings,2026-09-06,false,California,,
us-cacd-sagar-2026-ai-declaration,https://safelegalai.com/regulation/us-federal/us-cacd-sagar-2026-ai-declaration,Important Notice: Artificial Intelligence,U.S. District Court for the Central District of California — Judge Alka Sagar,Central District of California (Judge Sagar),us-federal,standing-order,in-force,lawyers; litigants; parties,disclosure; certification,"[{""version"":""As posted (undated)"",""date"":""2026-09-06"",""url"":""https://apps.cacd.uscourts.gov/Jps/#/judge/c2f8424c-aa26-4c30-3ed8-08ddece20de6/as""}]","Magistrate Judge Alka Sagar’s official Central District of California notice requires any party using generative AI to generate any portion of a filing to attach a separate declaration. The declaration discloses AI use and certifies source-material review, accuracy, and Rule 11 compliance.","Any party using generative AI for any portion of a brief, pleading, or filing must attach a declaration.; The declaration must disclose AI use.; The declaration must certify source-material review and accuracy.; The certification must state Rule 11 compliance.",,"[{""label"":""Central District of California — Important Notice: Artificial Intelligence (primary, uscourts-judge-page)"",""url"":""https://apps.cacd.uscourts.gov/Jps/#/judge/c2f8424c-aa26-4c30-3ed8-08ddece20de6/as""},{""label"":""SafeLegalAI us-court-ai-orders dataset row (coding, text excerpt, provenance)"",""url"":""https://github.com/SafeLegalAI/us-court-ai-orders/blob/main/data/orders.jsonl""}]",US,disclosure-filings; verification-duty; litigant-in-person,2026-09-06,false,California,,
us-cacd-scott-2026-ai-citation-check,https://safelegalai.com/regulation/us-federal/us-cacd-scott-2026-ai-citation-check,Judge’s Procedures: Generative Artificial Intelligence,U.S. District Court for the Central District of California — Judge Karen E. Scott,Central District of California (Judge Scott),us-federal,standing-order,in-force,lawyers,certification; verification,"[{""version"":""As posted (undated)"",""date"":""2026-09-06"",""url"":""https://apps.cacd.uscourts.gov/Jps/#/judge/33e68914-24b3-40a5-3ed9-08ddece20de6/kes""}]","Magistrate Judge Karen E. Scott’s Central District of California procedures warn that AI tools used to draft briefs may hallucinate authorities. Under Rule 11, anyone signing a filing created in whole or part with AI certifies to the court that cited legal authorities were checked and verified.",Counsel are put on notice that AI tools used to draft briefs can hallucinate legal authorities.; Anyone signing an AI-created filing certifies that cited legal authorities were checked and verified.; The provision ties the certification to duties under Rule 11.; The page applies to briefs and other court filings.,,"[{""label"":""Central District of California — Judge’s Procedures: Generative Artificial Intelligence (primary, uscourts-judge-page)"",""url"":""https://apps.cacd.uscourts.gov/Jps/#/judge/33e68914-24b3-40a5-3ed9-08ddece20de6/kes""},{""label"":""SafeLegalAI us-court-ai-orders dataset row (coding, text excerpt, provenance)"",""url"":""https://github.com/SafeLegalAI/us-court-ai-orders/blob/main/data/orders.jsonl""}]",US,disclosure-filings; verification-duty,2026-09-06,false,California,,
